lat_orig,lon_orig,diam_orig,lat_new,lon_new,diam_new,generation
24.55887437,-30.08432633,11.89289131,24.55887437,-30.08432633,5.985416531103607,0
24.55894243,-30.08423234,8.059735763,24.55894243,-30.08423234,4.13985071293743,0
24.55897146,-30.08429111,10.47909612,24.55897146,-30.08429111,4.4224053132184356,0
24.55909519,-30.0838521,10.92949751,24.55909519,-30.0838521,5.466611265363248,0
24.55903094,-30.08367578,9.5617014,24.55903094,-30.08367578,4.973802252522152,0
24.55912208,-30.0835737,10.6793094,24.55912208,-30.0835737,4.876772117499043,0
24.55902071,-30.08324391,8.93771902,24.55902071,-30.08324391,5.743187985242656,0
24.55901524,-30.08330911,9.23695538,24.55901524,-30.08330911,3.3925785883690955,0
24.55930506,-30.08421996,9.71141621,24.55930506,-30.08421996,5.672036860973928,0
24.55930387,-30.08394989,9.593586385,24.55930387,-30.08394989,3.4855876185012398,0
24.55933623,-30.08399653,9.736985962,24.55933623,-30.08399653,3.749998355693822,0
24.55939928,-30.08397845,9.844790543,24.55939928,-30.08397845,4.899283667194119,0
24.55960463,-30.08365532,9.092280395,24.55960463,-30.08365532,4.820171002041922,0
24.55952421,-30.08429825,7.010975987,24.55952421,-30.08429825,4.000727361755275,0
24.55954253,-30.08433917,8.467063322,24.55954253,-30.08433917,4.948198929851468,0
24.55938762,-30.08428135,6.661842256,24.55938762,-30.08428135,3.3828037302920873,0
24.55934979,-30.08430872,7.488126833,24.55934979,-30.08430872,4.706950104539334,0
24.55945591,-30.08287485,9.27221518,24.55945591,-30.08287485,5.078865603020244,0
24.55986613,-30.0828582,9.502177399,24.55986613,-30.0828582,6.325971025830045,0
24.55997511,-30.08276611,7.719337877,24.55997511,-30.08276611,6.281372562454582,0
24.55950541,-30.08382569,8.28850719,24.55950541,-30.08382569,3.7878038142758523,0
24.55949756,-30.08387447,8.087991153,24.55949756,-30.08387447,4.365346823989377,0
24.55959392,-30.0839982,7.849749851,24.55959392,-30.0839982,3.5416574223452666,0
24.55962438,-30.08307616,8.938211377,24.55962438,-30.08307616,4.7960737760544365,0
24.56044548,-30.08394537,11.87832081,24.56044548,-30.08394537,6.500501314657564,0
24.56001885,-30.08417118,9.505116893,24.56001885,-30.08417118,5.47003812600159,0
24.56012854,-30.08418213,11.45624868,24.56012854,-30.08418213,3.0686613026658094,0
24.56013068,-30.0842252,9.58283908,24.56013068,-30.0842252,5.310676073547007,0
24.56002741,-30.0840515,11.72813601,24.56002741,-30.0840515,3.9928423835246014,0
24.55994151,-30.08327365,8.309068375,24.55994151,-30.08327365,3.750678672977459,0
24.55986038,-30.08311803,8.07662557,24.55986038,-30.08311803,2.6546048746257864,0
24.56030034,-30.08333361,14.28053523,24.56030034,-30.08333361,10.219299688755903,0
24.56003455,-30.08334646,7.162216661,24.56003455,-30.08334646,4.872103396296251,0
24.55942874,-30.08337097,9.835067775,24.55942874,-30.08337097,5.4701304043198125,0
24.55919817,-30.08329388,11.15767895,24.55919817,-30.08329388,4.712221806506342,0
24.55918294,-30.08388993,8.627784471,24.55918294,-30.08388993,3.8091021268385266,0
24.55893338,-30.08302286,9.385558321,24.55893338,-30.08302286,4.911167272011487,0
24.55922772,-30.08367245,10.25311103,24.55922772,-30.08367245,6.3076873105211,0
24.55927841,-30.08364723,10.14924208,24.55927841,-30.08364723,4.146415564734844,0
24.55996726,-30.08453405,15.62102133,24.55996726,-30.08453405,6.24123112862066,0
24.55977234,-30.08287319,9.59582915,24.55977234,-30.08287319,4.875020336193043,0
24.55944492,-30.08377619,11.0227574,24.55944492,-30.08377619,5.211281845248028,0
24.5589439,-30.08410599,8.975657489,24.5589439,-30.08410599,3.1485994174018086,0
24.55910428,-30.08454452,10.48998656,24.55910428,-30.08454452,5.47085781674665,0
24.55936602,-30.08314064,10.44381085,24.55936602,-30.08314064,5.037276250206879,0
24.55948214,-30.08334242,10.51409793,24.55948214,-30.08334242,6.065088853561961,0
24.55949927,-30.08340476,15.60471426,24.55949927,-30.08340476,6.4043569013433,0
24.55954805,-30.08412336,9.50074026,24.55954805,-30.08412336,5.224358858736773,0
24.69879313,-30.15608974,7.074829738,24.69879313,-30.15608974,3.4886923707906643,0
24.6988076,-30.15613713,7.216395323,24.6988076,-30.15613713,4.127488948823678,0
24.69885797,-30.15615914,6.547606378,24.69885797,-30.15615914,4.378055451771866,0
24.69876537,-30.15552759,9.326680049,24.69876537,-30.15552759,4.790837451949578,0
24.69878738,-30.15556249,9.553766488,24.69878738,-30.15556249,4.251111741002302,0
24.69917622,-30.1547963,9.570920385,24.69917622,-30.1547963,5.360439008498348,0
24.69920339,-30.15473285,7.033890509,24.69920339,-30.15473285,3.76837063093095,0
24.69949765,-30.15521608,9.24333976,24.69949765,-30.15521608,4.260718278632284,0
24.69956645,-30.15534338,5.823456008,24.69956645,-30.15534338,2.719232866005233,0
24.69884131,-30.15542805,8.705873573,24.69884131,-30.15542805,3.51291369713945,0
24.6988306,-30.15550459,7.44665243,24.6988306,-30.15550459,3.174566005479944,0
24.69861328,-30.15566897,12.51038671,24.69861328,-30.15566897,4.901761324747698,0
24.69866959,-30.15569396,7.875253509,24.69866959,-30.15569396,4.240759169092124,0
24.69869973,-30.15567492,6.984502268,24.69869973,-30.15567492,4.332445780233873,0
24.69864203,-30.15575305,6.927733309,24.69864203,-30.15575305,2.741930753964589,0
24.69887482,-30.15582661,9.596096863,24.69887482,-30.15582661,4.864880954518448,0
24.69946969,-30.15574234,8.856020278,24.69946969,-30.15574234,5.290877467981186,0
